Day,Preclose,Open,Highest,Lowest,Close
2023/3/8,3285.0988,3271.8798,3283.2479,3263.6927,3283.2479
2023/3/9,3283.2479,3285.9427,3289.06,3259.9999,3276.0937
2023/3/10,3276.0937,3255.5121,3262.147,3229.4959,3230.0766
2023/3/13,3230.0766,3228.1239,3268.6955,3228.1239,3268.6955
2023/3/14,3268.6955,3261.9219,3262.0025,3216.9927,3245.3123
2023/3/15,3245.3123,3261.0284,3273.1232,3256.8566,3263.3148
2023/3/16,3263.3148,3244.4699,3257.433,3224.7223,3226.8912
2023/3/17,3226.8912,3245.2604,3279.9228,3240.157,3250.546
2023/3/20,3250.546,3253.9302,3267.9931,3231.6459,3234.9103
2023/3/21,3234.9103,3240.8388,3255.9997,3237.8934,3255.6505
2023/3/22,3255.6505,3263.4129,3279.3938,3255.7394,3265.7475
2023/3/23,3265.7475,3258.7791,3286.6491,3252.9917,3286.6491
2023/3/24,3286.6491,3282.739,3282.739,3260.8444,3265.6537
2023/3/27,3265.6537,3261.8235,3261.8235,3229.7037,3251.3971
2023/3/28,3251.3971,3256.6023,3264.0978,3241.7368,3245.376
2023/3/29,3245.376,3253.6212,3254.5564,3229.5848,3240.0568
2023/3/30,3240.0568,3243.0683,3263.7379,3220.9846,3261.2485
2023/3/31,3261.2485,3263.4061,3278.4231,3260.0396,3272.8602
2023/4/3,3272.8602,3277.34,3299.7321,3276.4158,3296.396
2023/4/4,3296.396,3297.183,3312.5615,3290.9925,3312.5578
2023/4/6,3312.5578,3302.751,3314.5262,3296.055,3312.628
2023/4/7,3312.628,3312.4813,3328.8455,3308.061,3327.6457
2023/4/10,3327.6457,3331.5051,3332.7152,3309.9171,3315.3578
2023/4/11,3315.3578,3317.0771,3317.4484,3298.2498,3313.5705
2023/4/12,3313.5705,3316.8623,3330.7079,3315.3991,3327.1816
2023/4/13,3327.1816,3321.2733,3334.4697,3309.2515,3318.3638
2023/4/14,3318.3638,3326.3704,3340.0764,3316.8101,3338.1525
2023/4/17,3338.1525,3337.0605,3385.6095,3336.3881,3385.6095
2023/4/18,3385.6095,3379.2267,3396.1745,3375.7803,3393.3312
2023/4/19,3393.3312,3391.3549,3394.959,3364.6419,3370.1283
2023/4/20,3370.1283,3367.0525,3371.3679,3344.016,3367.031
2023/4/21,3367.031,3363.9987,3367.6093,3301.2575,3301.2575
2023/4/24,3301.2575,3300.8125,3303.0908,3264.9349,3275.413
2023/4/25,3275.413,3276.403,3288.5685,3229.4461,3264.8717
2023/4/26,3264.8717,3255.2171,3277.9797,3239.9893,3264.1006
2023/4/27,3264.1006,3256.2278,3299.301,3253.1117,3285.8844
2023/4/28,3285.8844,3283.1224,3324.8808,3283.1224,3323.2746
2023/5/4,3323.2746,3306.4827,3352.7463,3302.0275,3350.4587
2023/5/5,3350.4587,3350.6538,3364.1417,3321.1872,3334.5028
2023/5/8,3334.5028,3340.9904,3400.1766,3340.9904,3395.0036
2023/5/9,3395.0036,3402.3938,3418.9534,3356.1183,3357.6707
2023/5/10,3357.6707,3347.7015,3349.7213,3305.2506,3319.1506
2023/5/11,3319.1506,3323.6583,3333.2496,3307.2887,3309.5512
2023/5/12,3309.5512,3304.4582,3319.1307,3271.4311,3272.3619
2023/5/15,3272.3619,3269.8781,3310.7367,3235.8679,3310.7367
2023/5/16,3310.7367,3310.1607,3317.9012,3282.4918,3290.9874
2023/5/17,3290.9874,3281.9664,3298.519,3269.8936,3284.232
2023/5/18,3284.232,3288.4112,3313.8622,3284.1679,3297.3199
2023/5/19,3297.3199,3288.8911,3302.3424,3268.2242,3283.5417
2023/5/22,3283.5417,3278.596,3308.5325,3276.5398,3296.4696
2023/5/23,3296.4696,3294.7877,3298.2257,3246.238,3246.238
2023/5/24,3246.238,3237.7045,3237.7045,3204.3813,3204.7494
2023/5/25,3204.7494,3197.3644,3207.021,3168.5716,3201.2605
2023/5/26,3201.2605,3198.8825,3220.7737,3179.8217,3212.5038
2023/5/29,3212.5038,3219.7553,3230.9706,3208.955,3221.4484
2023/5/30,3221.4484,3214.6728,3230.6317,3186.6256,3224.2133
2023/5/31,3224.2133,3214.6551,3216.3597,3190.2736,3204.5644
2023/6/1,3204.5644,3196.1547,3225.093,3189.5174,3204.6345
2023/6/2,3204.6345,3212.4489,3233.9916,3211.737,3230.0686
2023/6/5,3230.0686,3231.8108,3244.1801,3221.6254,3232.441
2023/6/6,3232.441,3228.4068,3247.349,3189.2692,3195.3404
2023/6/7,3195.3404,3197.4677,3210.3295,3188.0053,3197.7587
2023/6/8,3197.7587,3194.8348,3225.5263,3180.5354,3213.5855
2023/6/9,3213.5855,3213.033,3231.4055,3206.1027,3231.4055
2023/6/12,3231.4055,3225.3049,3239.4368,3210.7135,3228.8336
2023/6/13,3228.8336,3223.8958,3235.0854,3215.4989,3233.6734
2023/6/14,3233.6734,3238.1189,3248.4609,3226.7743,3228.9887
2023/6/15,3228.9887,3230.4512,3252.9751,3229.1452,3252.9751
2023/6/16,3252.9751,3256.2989,3276.5522,3255.4988,3273.3341
2023/6/19,3273.3341,3271.1635,3271.1635,3251.7789,3255.8057
2023/6/20,3255.8057,3252.5435,3252.8435,3237.7857,3240.3648
2023/6/21,3240.3648,3230.1142,3236.3626,3197.9011,3197.9011
2023/6/26,3197.9011,3177.2293,3181.0758,3144.2484,3150.6189
2023/6/27,3150.6189,3153.3132,3194.4086,3148.2657,3189.4427
2023/6/28,3189.4427,3183.4865,3192.6589,3157.1229,3189.3758
2023/6/29,3189.3758,3185.4242,3196.5025,3179.5251,3182.3812
2023/6/30,3182.3812,3178.9242,3212.9928,3177.9913,3202.0623
2023/7/3,3202.0623,3209.1623,3246.8605,3209.1623,3243.975
2023/7/4,3243.975,3241.2305,3246.9576,3233.9895,3245.3492
2023/7/5,3245.3492,3240.0486,3241.8353,3218.6022,3222.9469
2023/7/6,3222.9469,3215.8633,3229.4799,3199.7164,3205.5748
2023/7/7,3205.5748,3197.4716,3212.0472,3189.2114,3196.6092
2023/7/10,3196.6092,3208.7349,3216.5348,3192.6579,3203.6958
2023/7/11,3203.6958,3211.1222,3221.6804,3200.3845,3221.3666
2023/7/12,3221.3666,3220.3758,3224.3312,3193.4366,3196.1337
2023/7/13,3196.1337,3202.6992,3238.4675,3202.6992,3236.48
2023/7/14,3236.48,3240.9695,3248.3849,3233.9985,3237.7012
2023/7/17,3237.7012,3219.0162,3219.0162,3195.8862,3209.6298
2023/7/18,3209.6298,3206.786,3210.2482,3190.0049,3197.8201
2023/7/19,3197.8201,3195.0085,3204.3612,3181.5611,3198.8358
2023/7/20,3198.8358,3201.9111,3209.0554,3165.6739,3169.522
2023/7/21,3169.522,3163.421,3185.6357,3157.3335,3167.7452
2023/7/24,3167.7452,3157.4694,3178.7335,3151.1252,3164.1608
2023/7/25,3164.1608,3201.4575,3231.7486,3201.4575,3231.5213
2023/7/26,3231.5213,3228.0873,3229.8921,3212.8801,3223.0279
2023/7/27,3223.0279,3225.4763,3245.6028,3210.4699,3216.6709
2023/7/28,3216.6709,3206.741,3280.2777,3200.9939,3275.9257
2023/7/31,3275.9257,3287.2089,3322.1291,3281.0133,3291.0398
2023/8/1,3291.0398,3288.7604,3305.3402,3279.5656,3290.9493
2023/8/2,3290.9493,3281.8583,3290.8203,3252.3036,3261.6903
2023/8/3,3261.6903,3254.5651,3280.8636,3247.2719,3280.4626
2023/8/4,3280.4626,3296.0944,3315.0492,3281.7343,3288.0842
2023/8/7,3288.0842,3276.7756,3276.7756,3258.5372,3268.8311
2023/8/8,3268.8311,3260.7218,3274.5186,3246.6745,3260.6196
2023/8/9,3260.6196,3251.1521,3257.0816,3240.2888,3244.4867
2023/8/10,3244.4867,3242.2057,3257.0298,3234.1158,3254.5597
2023/8/11,3254.5597,3254.4751,3254.4751,3189.248,3189.248
