month,MarketR,rfmonth,ret,cpi,RV,RV1,RV2,RV3,var,pd,pe,pb,marketret3,marketret6,marketret12
2014-04-30,-0.005801,0.002466,-0.008267,1.8014,0.001804636733,0.0024484580909999998,0.0026241294889999996,0.0024305741509999994,9.011015045714285e-05,10.8021488912356,2.33969728719013,0.281954473874471,0.0265934796520653,0.216344199410427,0.90655303049627
2014-05-31,0.01404,0.002466,0.011574,2.4773,0.001258143,0.0008503307379999999,0.001344795442,0.00028711892399999983,6.576063722105265e-05,10.8140359649994,2.35136720351427,0.296096450430673,0.120125589177953,0.25103098663094,1.26840300585054
2014-06-30,0.025643,0.002466,0.023177,2.3361,0.00127573248,0.00110160216,0.001177496686,0.0010803521120000001,6.546176335789473e-05,10.8093782641468,2.37070456678059,0.313553555426886,0.123976203964731,0.350462075500612,1.42788360199277
2014-07-31,0.08413,0.002466,0.081664,2.2852,0.0015068424729999998,0.002494799179,0.003213303155,0.003585560775,5.556258915019763e-05,10.7075898062554,2.4446940464461,0.386788775767499,0.183318868916203,0.518358268797306,1.18080771068898
2014-08-31,0.017503,0.002466,0.015037,1.9909,0.001433628635,0.000866653277,0.000761714437,0.000761714437,7.100678915714285e-05,10.728383126645,2.41954901454153,0.395035187638427,0.115307928754373,0.417444521364733,0.705479278644778
2014-09-30,0.079439,0.002466,0.076973,1.6275,0.0020247390329999997,0.0026202851729999997,0.0023127551029999997,0.0030208784669999997,8.682876193333332e-05,10.8181950399381,2.48945168457074,0.473921307605605,0.199377339772704,0.456428942215232,0.434914091329534
2014-10-31,0.022208,0.002466,0.019742,1.6011,0.001595835164,0.002655488266,0.003174010576,0.003170629522,9.226264881045754e-05,10.827728059582,2.48300209988804,0.455102270683324,0.280270957465942,0.558159400646573,0.257323278267204
2014-11-30,0.093638,0.0024051,0.0912329,1.4393,0.002057908033,0.0030304866030000004,0.005425752005,0.006127586375000001,8.616443023947371e-05,10.9212673754168,2.57935425025025,0.547295720387832,0.268396760434843,0.801008263400461,0.405818511098861
2014-12-31,0.151617,0.002263,0.149354,1.5056,0.010586008196,0.007890121613999998,0.011860334607999998,0.008350102013999997,0.0004373220075731226,11.0814773434805,2.74497034191713,0.69664905431778,0.211890361744763,0.78584208859914,0.335407552985099
2015-01-31,0.012618,0.002263,0.010355,0.7638,0.011006280020999999,0.011526718360999999,0.0033642645829999995,0.0038341980189999995,0.0005785122609763159,11.0936182673697,2.75322815845496,0.707276847209227,0.214411841544266,0.427916437500133,0.204602770282766
2015-02-28,0.04506,0.002263,0.042797,1.4311,0.002745468183,0.0031611873690000005,0.003163924667,0.002998068523,0.00018645987009523806,11.1348242252192,2.79562542611497,0.750213640245206,0.416275712816255,0.19770647433759,-0.111527042174697
2015-03-31,0.153807,0.00206,0.151747,1.3758,0.0039001650939999998,0.005812381108,0.008758521604000001,0.010895615228000002,0.00013718305101298702,11.2986901892443,2.9623786708101,0.869919683413514,0.469903520846967,-0.0181036219431842,-0.168588485236149
2015-04-30,0.17986,0.00206,0.1778,1.5091,0.006333620273000002,0.006682052265000002,0.006283239695000002,0.012442453705000002,0.00024440875025714287,11.4576408910724,3.11390353342229,0.985377660182618,0.173835151491215,-0.195131534989575,-0.177244814553284
2015-05-31,0.084202,0.0019218064516129,0.0822801935483871,1.2308,0.013864263947000001,0.021352929441,0.022728916443,0.016548189751,0.0007075844036289475,11.4895275546116,3.17610047155975,1.06158371915588,-0.15521852745179,-0.22217978361759,-0.318854939600784
2015-06-30,-0.077816,0.0018356,-0.0796516,1.3909,0.027921835752,0.040086043218,0.014593344222000003,0.013402504870000002,0.0013827709761619045,11.6085459499711,3.09292925989166,0.97407531970676,-0.332264096335897,-0.254443169440265,-0.374917413776318
2015-07-31,-0.149658,0.001652,-0.15131,1.6473,0.041248071402000014,0.054626251234000014,0.03878598443400001,0.04575557810400001,0.001839029955988142,11.188586763046,2.91955145001235,0.791822266984619,-0.313468086724627,-0.15759782574237,-0.303141988803979
2015-08-31,-0.141968,0.0016123225806451,-0.143580322580645,1.9554,0.039895689568,0.070690920916,0.077146404412,0.06540473470000001,0.001947695527390476,11.0372220600849,2.71498552953203,0.615732757394816,-0.0779451543228014,-0.256999494402904,-0.165967823224954
2015-09-30,-0.052589,0.001447,-0.054036,1.5956,0.014367958864999999,0.009029225050999998,0.003783007784999998,0.0014168842109999976,0.0007494313665552633,11.010494718407,2.6646582789653,0.567699234413994,0.117678035970997,-0.151389227649961,0.016432252228336
2015-10-31,0.139752,0.0013938387096774,0.138358161290323,1.2674,0.008249618929999999,0.008970182003999998,0.009412799777999999,0.011217642505999999,0.0004432641504044118,11.1548317869763,2.81503938776503,0.689888764966845,0.227250109489001,0.0237590924277351,0.0525507829068879
2015-11-30,0.038851,0.001241,0.03761,1.4856,0.009477124547999998,0.011727530907999998,0.009338078935999998,0.012617023615999999,0.00046919164491428575,11.2173504694787,2.86466672336464,0.744432292686623,-0.192942225150203,-0.120620610030595,-0.0503131930909947
2015-12-31,0.039778,0.001241,0.038537,1.637,0.003798030386,0.0028340759120000004,0.003485497676,0.00341961008,0.00016918106560079053,11.2864052125609,2.92463798995368,0.799018982272419,-0.240251587522857,-0.157098447240336,-0.0465328474613863
2016-01-31,-0.249394,0.001241,-0.250635,1.7518,0.030454526648999992,0.017539184696999992,0.02725516318299999,0.03070717576899999,0.0013992669515026316,10.9999373708368,2.64938312452615,0.512705456405354,-0.165975942376324,-0.169640003770119,-0.128550152702023
2016-02-29,-0.021766,0.001241,-0.023007,2.2843,0.010765548391,0.006089189364999999,0.016411431901,0.011273011717,0.0007163061730625,10.9775264962945,2.62451900877693,0.489377490797012,0.090086515004417,0.123736258948222,0.177316610987989
2016-03-31,0.140934,0.001241,0.139693,2.3014,0.007645691473,0.009296419423,0.004399371835,0.0025723577069999993,0.00030979081303952573,11.1185059551121,2.78247743384123,0.606785836194336,0.110086896785624,0.197272461632401,0.236621706352323
2016-04-30,-0.019968,0.001241,-0.021209,2.3279,0.002859184347,0.0026590310710000002,0.0024833489650000003,0.0037880471910000002,0.00014944470855526314,11.1116027837206,2.75736940100957,0.538613105900664,-0.0036351652493613,0.0277435808576512,0.0760677408082446
2016-05-31,-0.003879,0.001241,-0.00512,2.039,0.004918694805,0.006595561739,0.005519276369,0.0038896121989999994,0.0002459243300571429,11.1335370712763,2.75882168464379,0.538366494953728,0.0304566693032633,0.0802936992454681,0.0718205317408156
2016-06-30,0.024443,0.001241,0.023202,1.8795,0.0028888330280000003,0.0027783314080000003,0.001300826312,0.002603176336,0.00015027227801052632,11.1110925541327,2.78557503615948,0.56548131918607,0.077908126546977,0.131400330483014,0.0555453870853504
2016-07-31,0.01344,0.001241,0.012199,1.7651,0.0018348745319999998,0.0014697581479999997,0.0015071112999999997,0.0019997246579999996,9.130127082857141e-05,11.1826507768024,2.79093192406461,0.578856785627535,0.0313893944632719,0.0505555537659921,0.074017792021285
2016-08-31,0.041826,0.001241,0.040585,1.3398,0.001469282397,0.002032905049,0.001338160461,0.0019751801689999997,6.321707526086955e-05,11.1943983823221,2.86514852452326,0.613699498073512,0.0480799209557599,0.046548707013683,0.0907928987183844
2016-09-30,-0.019616,0.001241,-0.020857,1.9202,0.0013734619129999997,0.0011983862129999997,0.0012430192009999996,0.0006515072709999996,7.125651423947369e-05,11.1916194523965,2.84170550397927,0.598732960782912,0.0491864215299906,0.0314389319290582,0.0754196805308971
2016-10-31,0.029781,0.001241,0.02854,2.0959,0.0007654001600000001,0.0008619021640000001,0.00102330996,0.0009872359200000002,4.7231039316666685e-05,11.2316806193373,2.80739341962476,0.581121394791175,0.0184028966722602,0.0464802434615952,0.105833644779706
2016-11-30,0.042922,0.001241,0.041681,2.2523,0.00077740259,0.000589304012,0.000609743118,0.00079490064,3.302928273593074e-05,11.2811855556356,2.85236387738022,0.626816397912994,-0.0016261888705881,-0.0083408735988649,0.0887292240431174
2016-12-31,-0.048279,0.001241,-0.04952,2.0765,0.0017977961210000005,0.0011789573390000006,0.0013436949050000006,0.0015107055690000008,8.023546479004329e-05,11.2474420113443,2.79987535772669,0.578619777239232,-0.0170297263134362,-0.0674672496014502,0.0159235455676525
2017-01-31,0.009602,0.001241,0.008361,2.5491,0.0007975214360000001,0.0013180930960000003,0.0014358402960000004,0.0018404882860000003,4.660401853594771e-05,11.260932104784,2.81008800172133,0.590092962889128,0.027402320181334,0.0218186134221836,0.0691797671091108
2017-02-28,0.026891,0.001241,0.02565,0.802,0.000583172517,0.00033416809699999997,0.000704420779,0.000573160615,3.188808766339869e-05,11.2952239985866,2.84060262682156,0.617889962165739,-0.0066945547504443,0.0416468402938668,0.101104628504087
2017-03-31,-0.005422,0.001241,-0.006663,0.9171,0.0006532614589999999,0.000435246105,0.000435246105,0.00030102822300000004,2.964272196837945e-05,11.2914665042163,2.87557180729586,0.600896454182225,-0.051053157319244,0.0421076012771415,0.0105617004549821
2017-04-30,-0.023783,0.001241,-0.025024,1.1658,0.0010953329700000003,0.0015689862600000003,0.0016382239920000004,0.0016864304220000005,6.247678929411766e-05,11.2553458734906,2.80262229488689,0.546061666946146,-0.0055141956619527,0.0559858327659104,0.0010132825263835
2017-05-31,-0.018796,0.001241,-0.020037,1.5171,0.000896272557,0.001280572791,0.001376275129,0.0015058535870000002,4.618559308157895e-05,11.2288232671084,2.78889522494556,0.524520395352547,0.0485102765356153,0.097217144292304,-0.0087094949495589
2017-06-30,0.04212,0.001241,0.040879,1.4958,0.0008598894250000001,0.0007527402170000001,0.0009463774450000002,0.0004999941370000001,3.7100699837662336e-05,11.2869544842223,2.82841197155332,0.563406002168999,0.097988419887816,0.089249519995803,0.0120222210074747
2017-07-31,0.029051,0.001241,0.02781,1.4067,0.001034619469,0.001020691595,0.000152720643,0.000129995905,4.9799893828571435e-05,11.2568791845476,2.85943483432944,0.595083668842233,0.0616306910256235,0.045855191890944,-0.107180732713465
2017-08-31,0.027342,0.001241,0.026101,1.7672,0.001128956518,0.0011508196100000001,0.0007291704920000001,0.0005004236500000002,4.981750685770752e-05,11.2863927041846,2.86954217495962,0.607688086670207,0.0461169853657482,0.0563776772939473,-0.122342845938467
2017-09-30,0.007729,0.001241,0.006488,1.632,0.000271349665,0.00020527542299999998,0.000223846519,7.1998987e-05,1.342532484761905e-05,11.2950289540004,2.87826591361113,0.614118470791615,-0.0082636208872582,-0.0303554824835666,-0.195557585712264
2017-10-31,0.014066,0.001241,0.012825,1.8684,0.000339769466,0.00043913146600000003,0.000433057698,0.000511820442,2.0530769139705883e-05,11.3111717531658,2.8519664228169,0.600352839000743,-0.0150233352158826,-0.0520856243836649,-0.180854991048343
2017-11-30,-0.025873,0.001241,-0.027114,1.7346,0.001433559363,0.0012097277589999999,0.001220564819,0.0007299058029999998,6.676038575108225e-05,11.2976662504898,2.83344282622148,0.575487196187845,0.0096097890674458,-0.0965457516936175,-0.264330097763463
2017-12-31,0.000886,0.001241,-0.000355,1.8482,0.000947608274,0.00020071921199999994,3.1527445999999924e-05,0.0005530478299999999,4.737864454761905e-05,11.3064706386974,2.83961498788493,0.583644887021047,-0.0221615828517524,-0.0710245197604706,-0.238368524864425
2018-01-31,0.039331,0.001241,0.03809,1.468,0.000930932964,0.001775244914,0.002693367276,0.002725534348,4.110846062337663e-05,11.3516166422976,2.89129110140421,0.627713807773661,-0.0374290759527259,-0.145613671744727,-0.272102432066784
2018-02-28,-0.056415,0.001241,-0.057656,2.9039,0.004916117119,0.006586942817,0.008355132873,0.011965172617000001,0.00033534852540952385,11.2960109730896,2.8334731864163,0.573066374914152,-0.104793685940859,-0.168390423455354,-0.277176645879667
2018-03-31,-0.014682,0.001241,-0.015923,2.0567,0.0026218631,0.0023194811579999998,0.0015861039939999997,0.0029896215919999994,0.00012441711925541125,11.2891920109238,2.80411547946965,0.539417743727196,-0.0496964289190069,-0.168839492433337,-0.111743715316509
2018-04-30,-0.033125,0.001241,-0.034366,1.8023,0.002070777092,0.0023146299039999998,0.0023146299039999998,0.00029063867999999996,0.00011808490183006535,11.2708703459593,2.72707673105959,0.471861290726662,-0.111813346676333,-0.134375703414942,-0.0388607280877931
2018-05-31,0.001419,0.001241,0.000178,1.7505,0.002093501816,0.0018198917140000003,0.0016037252240000005,0.0016453465060000006,9.968144858874458e-05,11.1747234485276,2.73204688145991,0.475133090007281,-0.070312292931562,-0.183399871630815,-0.0140181030633615
2018-06-30,-0.078836,0.001241,-0.080077,1.8536,0.004105931447,0.0034767393969999992,0.005364272714999998,0.005793539440999998,0.00019842029468157893,10.9705047224833,2.64982082904088,0.393370343483455,-0.124689648355737,-0.178134947382654,-0.0756908064718266
2018-07-31,0.011864,0.001241,0.010623,2.0594,0.0035017794820000007,0.002322969592000001,0.001878800816000001,0.002047755912000001,0.00016641955558441558,10.9758698447486,2.65875518156616,0.401425752580804,-0.0248292458583336,-0.145501370233757,0.0394721514165217
2018-08-31,-0.05692,0.001241,-0.058161,2.3031,0.004445117183,0.004564376911,0.0067217522509999995,0.004940193438999999,0.00019533844539130433,10.9235219701284,2.56364935979658,0.334683120650919,-0.120873824873183,-0.128150659541497,0.0246586613677362
2018-09-30,0.02581,0.001241,0.024569,2.4724,0.0023273345380000004,0.0012670085040000004,0.0019057100240000005,0.0028231591500000007,0.00012729565864912277,10.9456231787431,2.59128588875731,0.361616020681439,-0.0602710061572905,0.0695859764087767,0.0767206706879138
2018-10-31,-0.087415,0.001241,-0.088656,2.5432,0.009901602869999998,0.006319103011999998,0.004819994303999998,0.011991909029999998,0.0005570513854379085,10.8565817319295,2.48272368247545,0.239295927066886,-0.123178843941651,0.110547900386891,0.056512757488463
2018-11-30,0.007817,0.001241,0.006576,2.175,0.003615654108,0.002783288586,0.003304904366,0.003786019644,0.00017200623367965372,10.8755061594111,2.49369464144626,0.254169032366391,-0.0077320420910822,0.207205406694814,0.17359024614952
2018-12-31,-0.042589,0.001241,-0.04383,1.8607,0.0022713137249999998,0.0028452466289999997,0.002754135235,0.001833712837,0.00011459864598684205,10.8411201507934,2.45582172507912,0.215241575489077,0.137877723149379,0.125130082260815,0.146068579486279
2019-01-31,0.032232,0.001241,0.030991,1.7404,0.0016296317099999996,0.0013963374019999996,0.0007464108659999998,0.0013594888239999998,7.543766167965367e-05,10.8814115873305,2.49731898354073,0.250626258365076,0.265954498274954,0.215855277097092,0.28057518362166
2019-02-28,0.155155,0.001241,0.153914,1.4868,0.00554444892,0.00735665835,0.007380655704,0.008405162637999999,0.00029365499963809525,11.0287444629842,2.63699863373079,0.395332783438406,0.21583054706293,0.174870083556951,0.224785348400582
2019-03-31,0.064823,0.001241,0.063582,2.2764,0.006407833470999999,0.005779264803,0.0024166725869999997,0.0014821818709999995,0.00031018645935714277,11.0936946034718,2.69829325704075,0.444835496520202,-0.0116166212767905,0.0061416976886812,0.0472598790550787
2019-04-30,-0.008518,0.001241,-0.009759,2.5399,0.003564956313,0.006118742605,0.006952401311,0.009113380923,0.00017813370153333332,11.088162354499,2.66630293829007,0.405594325283155,-0.0402388899044924,-0.0490697714159064,-0.0728995162639274
2019-05-31,-0.060281,0.001241,-0.061522,2.7428,0.007552300688999999,0.004179505680999999,0.0022506826069999984,0.007694745338999998,0.0003882608521552631,11.0471759711639,2.60594710738917,0.344264692911916,-0.0342460075205618,-0.0289483357816473,-0.0202942439421488
2019-06-30,0.034103,0.001241,0.032862,2.6814,0.002414428217,0.003258670095,0.002861229129,0.001807640741,0.0001307470251520468,11.0000896675139,2.63742503459231,0.373556149973213,0.0179431750323864,0.0176619255996169,0.0464023279592178
2019-07-31,-0.002351,0.001241,-0.003592,2.7826,0.002127124192999999,0.001370394230999999,0.001953773838999999,0.001909747668999999,9.66792468735178e-05,10.9930961776607,2.62775979070338,0.366046803187617,-0.0090098470728083,0.051587013631464,0.0882063008420961
2019-08-31,-0.009694,0.001241,-0.010935,2.8435,0.002222786339,0.002572453019,0.004041436565,0.004558650855,0.00010566642374242427,10.9932732608167,2.60630716259796,0.350773103730155,0.0055961122246677,0.0411126814137148,0.235408199070612
2019-09-30,0.006822,0.001241,0.005581,3.023,0.001525536473,0.0017396793909999998,0.0018407358229999998,0.002863900331,8.017266150263157e-05,11.0108087622137,2.61535792294717,0.358918252124704,-0.0003407504751009,0.0405207863450421,0.282026216194026
2019-10-31,0.012298,0.001241,0.011057,3.7551,0.000877636563,0.001166885893,0.000927388423,0.0007489789490000001,5.116142344117647e-05,11.0302072261412,2.61728253178503,0.339010286964652,0.0609524103506278,-0.0244816896413402,0.200948761030067
2019-11-30,-0.015519,0.001241,-0.01676,4.4884,0.001107253234,0.00109039649,0.0008005764640000001,0.0002755221500000002,5.476451289047619e-05,11.0194680456043,2.60220789630403,0.323532719828993,0.0351678136440363,0.0090650203486208,0.199040100582519
2019-12-31,0.068325,0.001241,0.067084,4.4552,0.0011721069209999998,0.0015376284349999996,0.0020960922629999993,0.0018623217669999994,4.634857814069264e-05,11.0931671754191,2.67076792066328,0.392952940410251,0.0407248770763564,0.0279071466552421,0.270014068064649
2020-01-31,-0.012218,0.001241,-0.013459,5.3846,0.0019072557519999999,0.0009815742099999998,0.0026004209419999997,0.001979512272,0.00012656686865,11.091691906321,2.66171411557725,0.383736389575416,-0.0804573251417243,0.0342134612073235,0.219727558713607
2020-02-29,-0.010253,0.001241,-0.011494,5.1748,0.010540656197999999,0.014443590662,0.012350958039999999,0.012207696353999998,0.0005546961127789473,11.0874574195008,2.65555152081862,0.374303389730804,-0.0252517093758466,0.185000767170198,0.233526243065215
