month,to_v,to_m
2001,0.190533938720781,0.189355638517587
2001.08333333333,0.129325381089853,0.128242574606646
2001.16666666667,0.237772773528567,0.234161957701552
2001.25,0.262917983457911,0.271363404202451
2001.33333333333,0.198950111865648,0.212652985615094
2001.41666666667,0.240162209044001,0.250909070602203
2001.5,0.153086217889762,0.164120195577746
2001.58333333333,0.132095333757327,0.138996450716126
2001.66666666667,0.0997438685441659,0.108125732624163
2001.75,0.126689554290473,0.137600010575557
2001.83333333333,0.142698987719606,0.148058016871949
2001.91666666667,0.131589630957439,0.138034667001428
2002,0.155947047039433,0.155717809220612
2002.08333333333,0.100016641090954,0.0992884951236909
2002.16666666667,0.345268438996541,0.338116481935891
2002.25,0.212660967061813,0.213622140393868
2002.33333333333,0.131044239618555,0.137503621932729
2002.41666666667,0.309849830854021,0.294781335931712
2002.5,0.211101315564071,0.206695575687431
2002.58333333333,0.122686653097475,0.129350258359416
2002.66666666667,0.0898343945549189,0.0976832991245829
2002.75,0.0894844409972588,0.0817726359860082
2002.83333333333,0.140141591038343,0.141616320272784
2002.91666666667,0.129796852258104,0.136410294498746
2003,0.247118445477131,0.226939124333412
2003.08333333333,0.120652461934967,0.120720224744469
2003.16666666667,0.152373733990661,0.158611925325587
2003.25,0.443803950455568,0.424915467138503
2003.33333333333,0.239915070232448,0.240415282911291
2003.41666666667,0.184141599107983,0.182925174077609
2003.5,0.167243716769467,0.174622758517085
2003.58333333333,0.107279053740081,0.114587006858871
2003.66666666667,0.120671768836225,0.129859089159538
2003.75,0.127803265256629,0.125967316305291
2003.83333333333,0.237229648628886,0.228987547196689
2003.91666666667,0.343012123033465,0.343442725096442
2004,0.269666245063504,0.272923390344649
2004.08333333333,0.498570604177525,0.48872346370512
2004.16666666667,0.386720790985767,0.38855708989288
2004.25,0.343684339085051,0.352314049813637
2004.33333333333,0.135031148439875,0.137364649641026
2004.41666666667,0.189498049802175,0.208416907727637
2004.5,0.189548635053062,0.206265233823077
2004.58333333333,0.147034222355453,0.158101527197839
2004.66666666667,0.322247945574791,0.325084534132291
2004.75,0.216363947138285,0.243514328425227
2004.83333333333,0.24314179408893,0.255541392866246
2004.91666666667,0.174764121771551,0.178188711956874
2005,0.154537288588821,0.157032393186088
2005.08333333333,0.175307783941134,0.175225874932942
2005.16666666667,0.243817634889109,0.265498987780803
2005.25,0.262272674636044,0.284851148879642
2005.33333333333,0.148241886431847,0.154488629614252
2005.41666666667,0.31260185716292,0.332553733023771
2005.5,0.241205171062409,0.248425557533567
2005.58333333333,0.494743751774214,0.485721999316992
2005.66666666667,0.412743681501587,0.397031587088976
2005.75,0.214920890803228,0.225585178259371
2005.83333333333,0.247261733137417,0.251927010623929
2005.91666666667,0.242678028293793,0.259385149122634
2006,0.347263781421743,0.369669268995953
2006.08333333333,0.363854471157915,0.382256355977385
2006.16666666667,0.403237262372671,0.427261913917085
2006.25,0.655448104982433,0.695763372181473
2006.33333333333,0.866432308181392,0.870214738775631
2006.41666666667,0.669353637019028,0.658566611862741
2006.5,0.550761405636122,0.550580580683435
2006.58333333333,0.368690418611831,0.379991942786299
2006.66666666667,0.413374198764412,0.414128907247372
2006.75,0.414086582333411,0.396239618841314
2006.83333333333,0.572643433324201,0.567202990694566
2006.91666666667,0.789541297003208,0.728496844119729
2007,1.09076320634107,0.935343801729244
