month,pb
2006.58333333333,0.632935090566654
2006.66666666667,0.684043718169273
2006.75,0.67022460178756
2006.83333333333,0.786900715538055
2006.91666666667,0.921131168649779
2007,1.09849932473143
2007.08333333333,1.20250888788909
2007.16666666667,1.29034457882056
2007.25,1.4932480890906
2007.33333333333,1.5902181753252
2007.41666666667,1.51363089127589
2007.5,1.6907535010691
2007.58333333333,1.81212370727768
2007.66666666667,1.87418550326678
2007.75,1.76455849453318
2007.83333333333,1.60932719701463
2007.91666666667,1.75661847480401
2008,1.64429788135528
2008.08333333333,1.67430179348258
2008.16666666667,1.42078529034315
2008.25,1.39642118734909
2008.33333333333,1.31442779945066
2008.41666666667,1.05862888557042
2008.5,1.08338733549642
2008.58333333333,0.855693281742255
2008.66666666667,0.791170241305578
2008.75,0.453061532437208
